date,country,daily_vaccinations_dose1,daily_vaccinations_dose2,daily_vaccinations_booster,cumulative_dose1,cumulative_dose2,cumulative_booster,total_vaccinations
2021-07-26,India,122055,52422,0,35879077,24252582,0,60131659
2021-07-27,India,235197,316428,0,36114274,24569010,0,60683284
2021-07-28,India,125968,211331,0,36240242,24780341,0,61020583
2021-07-29,India,386446,166976,0,36626688,24947317,0,61574005
2021-07-30,India,454567,177064,0,37081255,25124381,0,62205636
2021-07-31,India,112284,161762,0,37193539,25286143,0,62479682
2021-08-01,India,195987,309904,0,37389526,25596047,0,62985573
2021-08-02,India,334402,204651,0,37723928,25800698,0,63524626
2021-08-03,India,309488,173897,0,38033416,25974595,0,64008011
2021-08-04,India,297577,147564,0,38330993,26122159,0,64453152
2021-08-05,India,326219,338623,0,38657212,26460782,0,65117994
2021-08-06,India,144175,339391,0,38801387,26800173,0,65601560
2021-08-07,India,159438,279435,0,38960825,27079608,0,66040433
2021-08-08,India,208438,227056,0,39169263,27306664,0,66475927
2021-08-09,India,134212,102886,0,39303475,27409550,0,66713025
2021-08-10,India,166093,126061,0,39469568,27535611,0,67005179
2021-08-11,India,264915,75443,0,39734483,27611054,0,67345537
2021-08-12,India,198918,159235,0,39933401,27770289,0,67703690
2021-08-13,India,172186,250254,0,40105587,28020543,0,68126130
2021-08-14,India,102023,277319,0,40207610,28297862,0,68505472
2021-08-15,India,432297,300989,0,40639907,28598851,0,69238758
2021-08-16,India,125167,316863,0,40765074,28915714,0,69680788
2021-08-17,India,221220,302592,0,40986294,29218306,0,70204600
2021-08-18,India,180291,240737,0,41166585,29459043,0,70625628
2021-08-19,India,327353,379782,0,41493938,29838825,0,71332763
2021-08-20,India,114006,52882,0,41607944,29891707,0,71499651
2021-08-21,India,459636,221303,0,42067580,30113010,0,72180590
2021-08-22,India,304613,240161,0,42372193,30353171,0,72725364
2021-08-23,India,291323,128738,0,42663516,30481909,0,73145425
2021-08-24,India,209474,270883,0,42872990,30752792,0,73625782
2021-08-25,India,374905,287789,0,43247895,31040581,0,74288476
2021-08-26,India,262992,131427,0,43510887,31172008,0,74682895
2021-08-27,India,440574,212591,0,43951461,31384599,0,75336060
2021-08-28,India,427862,92532,0,44379323,31477131,0,75856454
2021-08-29,India,269437,55710,0,44648760,31532841,0,76181601
2021-08-30,India,408862,180591,0,45057622,31713432,0,76771054
2021-08-31,India,349549,299610,0,45407171,32013042,0,77420213
2021-09-01,India,190416,355759,0,45597587,32368801,0,77966388
2021-09-02,India,190059,75794,0,45787646,32444595,0,78232241
2021-09-03,India,168598,58079,0,45956244,32502674,0,78458918
2021-09-04,India,267844,295737,0,46224088,32798411,0,79022499
2021-09-05,India,115760,320557,0,46339848,33118968,0,79458816
2021-09-06,India,146300,376493,0,46486148,33495461,0,79981609
2021-09-07,India,234560,59125,0,46720708,33554586,0,80275294
2021-09-08,India,286827,94333,0,47007535,33648919,0,80656454
2021-09-09,India,443099,60350,0,47450634,33709269,0,81159903
2021-09-10,India,357632,163719,0,47808266,33872988,0,81681254
2021-09-11,India,314387,254865,0,48122653,34127853,0,82250506
2021-09-12,India,280637,274350,0,48403290,34402203,0,82805493
2021-09-13,India,485599,98210,0,48888889,34500413,0,83389302
2021-09-14,India,195548,350313,0,49084437,34850726,0,83935163
2021-09-15,India,409728,382679,0,49494165,35233405,0,84727570
2021-09-16,India,289844,287059,0,49784009,35520464,0,85304473
2021-09-17,India,252422,102736,0,50036431,35623200,0,85659631
2021-09-18,India,469581,123602,0,50506012,35746802,0,86252814
2021-09-19,India,367763,206377,0,50873775,35953179,0,86826954
2021-09-20,India,109931,368186,0,50983706,36321365,0,87305071
2021-09-21,India,264172,383959,0,51247878,36705324,0,87953202
2021-09-22,India,230270,91468,0,51478148,36796792,0,88274940
2021-09-23,India,394999,338859,0,51873147,37135651,0,89008798
2021-09-24,India,476697,68653,0,52349844,37204304,0,89554148
2021-09-25,India,123350,319608,0,52473194,37523912,0,89997106
2021-09-26,India,360921,224833,0,52834115,37748745,0,90582860
2021-09-27,India,377264,240526,0,53211379,37989271,0,91200650
2021-09-28,India,298395,74142,0,53509774,38063413,0,91573187
2021-09-29,India,283950,297944,0,53793724,38361357,0,92155081
2021-09-30,India,470047,77904,0,54263771,38439261,0,92703032
2021-10-01,India,287960,374479,0,54551731,38813740,0,93365471
2021-10-02,India,492972,137153,0,55044703,38950893,0,93995596
2021-10-03,India,236757,264899,0,55281460,39215792,0,94497252
2021-10-04,India,393624,276793,0,55675084,39492585,0,95167669
2021-10-05,India,303869,221861,0,55978953,39714446,0,95693399
2021-10-06,India,370921,136655,0,56349874,39851101,0,96200975
2021-10-07,India,164958,380692,0,56514832,40231793,0,96746625
2021-10-08,India,279148,83813,0,56793980,40315606,0,97109586
2021-10-09,India,309867,192956,0,57103847,40508562,0,97612409
2021-10-10,India,193214,281939,0,57297061,40790501,0,98087562
2021-10-11,India,422882,130100,0,57719943,40920601,0,98640544
2021-10-12,India,156676,98549,0,57876619,41019150,0,98895769
2021-10-13,India,251778,343614,0,58128397,41362764,0,99491161
2021-10-14,India,188164,181114,46669,58316561,41543878,46669,99907108
2021-10-15,India,141613,308117,77356,58458174,41851995,124025,100434194
2021-10-16,India,116996,342737,13557,58575170,42194732,137582,100907484
2021-10-17,India,376678,247538,29690,58951848,42442270,167272,101561390
2021-10-18,India,171078,304095,87860,59122926,42746365,255132,102124423
2021-10-19,India,199934,218248,45011,59322860,42964613,300143,102587616
2021-10-20,India,401705,106237,24397,59724565,43070850,324540,103119955
2021-10-21,India,398676,320657,78792,60123241,43391507,403332,103918080
2021-10-22,India,258244,189250,22502,60381485,43580757,425834,104388076
2021-10-23,India,482953,348818,75922,60864438,43929575,501756,105295769
2021-10-24,India,310405,144150,73247,61174843,44073725,575003,105823571
2021-10-25,India,133802,65179,65044,61308645,44138904,640047,106087596
2021-10-26,India,423482,373659,89775,61732127,44512563,729822,106974512
2021-10-27,India,498343,391522,30478,62230470,44904085,760300,107894855
2021-10-28,India,234997,279783,75933,62465467,45183868,836233,108485568
2021-10-29,India,356564,105224,53908,62822031,45289092,890141,109001264
2021-10-30,India,290521,372545,64344,63112552,45661637,954485,109728674
2021-10-31,India,198046,58397,52008,63310598,45720034,1006493,110037125
2021-11-01,India,234888,125202,88451,63545486,45845236,1094944,110485666
2021-11-02,India,202325,161159,79747,63747811,46006395,1174691,110928897
2021-11-03,India,179857,372326,83656,63927668,46378721,1258347,111564736
2021-11-04,India,328158,294956,23590,64255826,46673677,1281937,112211440
2021-11-05,India,307092,89673,59443,64562918,46763350,1341380,112667648
2021-11-06,India,419029,82714,25776,64981947,46846064,1367156,113195167
2021-11-07,India,405689,256998,56670,65387636,47103062,1423826,113914524
2021-11-08,India,323491,173032,46041,65711127,47276094,1469867,114457088
2021-11-09,India,326382,387059,70404,66037509,47663153,1540271,115240933
2021-11-10,India,254240,258223,60366,66291749,47921376,1600637,115813762
2021-11-11,India,335086,125445,79198,66626835,48046821,1679835,116353491
2021-11-12,India,212401,263785,64802,66839236,48310606,1744637,116894479
2021-11-13,India,127784,118026,55804,66967020,48428632,1800441,117196093
2021-11-14,India,238714,280199,98521,67205734,48708831,1898962,117813527
2021-11-15,India,464885,271740,63466,67670619,48980571,1962428,118613618
2021-11-16,India,188431,384572,95712,67859050,49365143,2058140,119282333
2021-11-17,India,131214,281961,49591,67990264,49647104,2107731,119745099
2021-11-18,India,191061,189610,57300,68181325,49836714,2165031,120183070
2021-11-19,India,257603,339854,39680,68438928,50176568,2204711,120820207
2021-11-20,India,247128,339014,19754,68686056,50515582,2224465,121426103
2021-11-21,India,208943,173846,91568,68894999,50689428,2316033,121900460
2021-11-22,India,309857,219028,26512,69204856,50908456,2342545,122455857
2021-11-23,India,290641,343089,42217,69495497,51251545,2384762,123131804
2021-11-24,India,278972,92858,48331,69774469,51344403,2433093,123551965
2021-11-25,India,144057,178962,17620,69918526,51523365,2450713,123892604
2021-11-26,India,437854,232925,30860,70356380,51756290,2481573,124594243
2021-11-27,India,295744,305962,66897,70652124,52062252,2548470,125262846
2021-11-28,India,262891,194877,37122,70915015,52257129,2585592,125757736
2021-11-29,India,160357,336469,36496,71075372,52593598,2622088,126291058
2021-11-30,India,280516,297084,98080,71355888,52890682,2720168,126966738
2021-12-01,India,396015,236796,14902,71751903,53127478,2735070,127614451
2021-12-02,India,466946,207189,50659,72218849,53334667,2785729,128339245
2021-12-03,India,264746,181225,22101,72483595,53515892,2807830,128807317
2021-12-04,India,285014,398433,75586,72768609,53914325,2883416,129566350
2021-12-05,India,300136,276755,33036,73068745,54191080,2916452,130176277
2021-12-06,India,445842,108779,84032,73514587,54299859,3000484,130814930
2021-12-07,India,147302,267488,58708,73661889,54567347,3059192,131288428
2021-12-08,India,261933,280589,60376,73923822,54847936,3119568,131891326
2021-12-09,India,396092,304761,58040,74319914,55152697,3177608,132650219
2021-12-10,India,412990,278898,70762,74732904,55431595,3248370,133412869
2021-12-11,India,170173,376809,87908,74903077,55808404,3336278,134047759
2021-12-12,India,453434,238719,42421,75356511,56047123,3378699,134782333
2021-12-13,India,499260,376886,71045,75855771,56424009,3449744,135729524
2021-12-14,India,223736,207129,18132,76079507,56631138,3467876,136178521
2021-12-15,India,398246,282568,93883,76477753,56913706,3561759,136953218
2021-12-16,India,142955,261172,11588,76620708,57174878,3573347,137368933
2021-12-17,India,102883,157554,38801,76723591,57332432,3612148,137668171
2021-12-18,India,425301,224897,86753,77148892,57557329,3698901,138405122
2021-12-19,India,180205,269626,82614,77329097,57826955,3781515,138937567
2021-12-20,India,186375,357529,43079,77515472,58184484,3824594,139524550
2021-12-21,India,309023,370434,26473,77824495,58554918,3851067,140230480
2021-12-22,India,243314,108027,72462,78067809,58662945,3923529,140654283
2021-12-23,India,328142,395726,61601,78395951,59058671,3985130,141439752
2021-12-24,India,395173,295419,28428,78791124,59354090,4013558,142158772
2021-12-25,India,316565,272490,22115,79107689,59626580,4035673,142769942
2021-12-26,India,126123,288030,47571,79233812,59914610,4083244,143231666
2021-12-27,India,176391,189436,22755,79410203,60104046,4105999,143620248
2021-12-28,India,288550,64519,99099,79698753,60168565,4205098,144072416
2021-12-29,India,342269,126938,12992,80041022,60295503,4218090,144554615
2021-12-30,India,453122,120724,93240,80494144,60416227,4311330,145221701
2021-12-31,India,382302,397799,52000,80876446,60814026,4363330,146053802
2022-01-01,India,316886,53282,64938,81193332,60867308,4428268,146488908
2022-01-02,India,307856,365411,82692,81501188,61232719,4510960,147244867
2022-01-03,India,486636,351472,40754,81987824,61584191,4551714,148123729
2022-01-04,India,430828,132406,65802,82418652,61716597,4617516,148752765
2022-01-05,India,110774,295437,62113,82529426,62012034,4679629,149221089
2022-01-06,India,412057,379300,61434,82941483,62391334,4741063,150073880
2022-01-07,India,458161,251567,87440,83399644,62642901,4828503,150871048
2022-01-08,India,126513,302557,32774,83526157,62945458,4861277,151332892
2022-01-09,India,164719,120976,96934,83690876,63066434,4958211,151715521
2022-01-10,India,445318,52331,93373,84136194,63118765,5051584,152306543
2022-01-11,India,413096,383069,27541,84549290,63501834,5079125,153130249
2022-01-12,India,411276,370763,72035,84960566,63872597,5151160,153984323
2022-01-13,India,459878,308939,56019,85420444,64181536,5207179,154809159
2022-01-14,India,480322,242633,17903,85900766,64424169,5225082,155550017
2022-01-15,India,468282,315720,90898,86369048,64739889,5315980,156424917
2022-01-16,India,151521,135099,144270,86520569,64874988,5460250,156855807
2022-01-17,India,134555,77284,104613,86655124,64952272,5564863,157172259
2022-01-18,India,118736,88511,106988,86773860,65040783,5671851,157486494
2022-01-19,India,125449,68406,87545,86899309,65109189,5759396,157767894
2022-01-20,India,100150,154106,119889,86999459,65263295,5879285,158142039
2022-01-21,India,58823,164647,117130,87058282,65427942,5996415,158482639
2022-01-22,India,117961,109901,122917,87176243,65537843,6119332,158833418
2022-01-23,India,62558,104821,100518,87238801,65642664,6219850,159101315
2022-01-24,India,193484,74812,143633,87432285,65717476,6363483,159513244
2022-01-25,India,96311,71007,53660,87528596,65788483,6417143,159734222
2022-01-26,India,189853,50518,115494,87718449,65839001,6532637,160090087
2022-01-27,India,134581,168594,94532,87853030,66007595,6627169,160487794
2022-01-28,India,183398,157723,79107,88036428,66165318,6706276,160908022
2022-01-29,India,110602,136004,133866,88147030,66301322,6840142,161288494
2022-01-30,India,66686,151199,51722,88213716,66452521,6891864,161558101
2022-01-31,India,103493,152778,132547,88317209,66605299,7024411,161946919
2022-02-01,India,121689,121765,64938,88438898,66727064,7089349,162255311
2022-02-02,India,164186,102583,56204,88603084,66829647,7145553,162578284
2022-02-03,India,173572,68256,129796,88776656,66897903,7275349,162949908
2022-02-04,India,164399,54935,50291,88941055,66952838,7325640,163219533
2022-02-05,India,110544,151402,66591,89051599,67104240,7392231,163548070
2022-02-06,India,102806,106634,84669,89154405,67210874,7476900,163842179
2022-02-07,India,121585,75445,142547,89275990,67286319,7619447,164181756
2022-02-08,India,125379,66762,142992,89401369,67353081,7762439,164516889
2022-02-09,India,161128,47224,102501,89562497,67400305,7864940,164827742
2022-02-10,India,159929,107263,148494,89722426,67507568,8013434,165243428
2022-02-11,India,157102,136732,78363,89879528,67644300,8091797,165615625
2022-02-12,India,180000,55605,52541,90059528,67699905,8144338,165903771
2022-02-13,India,113461,89188,60308,90172989,67789093,8204646,166166728
2022-02-14,India,58195,66998,120116,90231184,67856091,8324762,166412037
2022-02-15,India,196591,174544,127679,90427775,68030635,8452441,166910851
2022-02-16,India,99041,50089,82268,90526816,68080724,8534709,167142249
2022-02-17,India,184499,120202,134069,90711315,68200926,8668778,167581019
2022-02-18,India,105040,87288,80554,90816355,68288214,8749332,167853901
2022-02-19,India,90789,129563,114780,90907144,68417777,8864112,168189033
2022-02-20,India,106130,56190,92035,91013274,68473967,8956147,168443388
2022-02-21,India,91677,154728,58450,91104951,68628695,9014597,168748243
2022-02-22,India,194882,102803,58898,91299833,68731498,9073495,169104826
2022-02-23,India,125419,107381,77813,91425252,68838879,9151308,169415439
2022-02-24,India,102591,143584,107498,91527843,68982463,9258806,169769112
2022-02-25,India,122666,101687,128027,91650509,69084150,9386833,170121492
2022-02-26,India,63220,81010,71876,91713729,69165160,9458709,170337598
2022-02-27,India,192153,121621,127908,91905882,69286781,9586617,170779280
2022-02-28,India,91019,63533,135175,91996901,69350314,9721792,171069007
2022-03-01,India,159216,169535,70391,92156117,69519849,9792183,171468149
2022-03-02,India,178334,65127,128268,92334451,69584976,9920451,171839878
2022-03-03,India,120092,74097,66852,92454543,69659073,9987303,172100919
2022-03-04,India,66065,110078,112207,92520608,69769151,10099510,172389269
2022-03-05,India,114671,156341,111378,92635279,69925492,10210888,172771659
2022-03-06,India,84229,79303,64943,92719508,70004795,10275831,173000134
2022-03-07,India,58718,156839,114761,92778226,70161634,10390592,173330452
2022-03-08,India,129648,61616,51581,92907874,70223250,10442173,173573297
2022-03-09,India,187434,133235,140335,93095308,70356485,10582508,174034301
2022-03-10,India,173402,69387,131478,93268710,70425872,10713986,174408568
2022-03-11,India,53971,102634,127383,93322681,70528506,10841369,174692556
2022-03-12,India,118014,66224,135006,93440695,70594730,10976375,175011800
2022-03-13,India,132329,70041,90601,93573024,70664771,11066976,175304771
2022-03-14,India,79430,56645,83125,93652454,70721416,11150101,175523971
2022-03-15,India,186652,64211,78104,93839106,70785627,11228205,175852938
2022-03-16,India,61984,139898,93159,93901090,70925525,11321364,176147979
2022-03-17,India,167819,170955,77292,94068909,71096480,11398656,176564045
2022-03-18,India,168907,50025,89716,94237816,71146505,11488372,176872693
2022-03-19,India,101722,122401,129622,94339538,71268906,11617994,177226438
2022-03-20,India,117064,106106,129256,94456602,71375012,11747250,177578864
2022-03-21,India,72538,57502,140051,94529140,71432514,11887301,177848955
2022-03-22,India,111258,167313,87613,94640398,71599827,11974914,178215139
2022-03-23,India,98785,78112,123784,94739183,71677939,12098698,178515820
2022-03-24,India,159339,74405,70436,94898522,71752344,12169134,178820000
2022-03-25,India,128231,87921,124495,95026753,71840265,12293629,179160647
2022-03-26,India,144052,52364,88973,95170805,71892629,12382602,179446036
2022-03-27,India,140090,158454,95795,95310895,72051083,12478397,179840375
