date,state,country,hospital_admissions,icu_admissions,ventilator_usage,available_beds,available_icu_beds
2020-01-18,Uttar Pradesh,India,564,124,39,787,45
2020-01-18,West Bengal,India,177,38,14,592,36
2020-01-18,Gujarat,India,68,16,6,678,56
2020-01-18,Rajasthan,India,324,77,32,495,21
2020-01-18,Madhya Pradesh,India,322,54,18,703,36
2020-01-19,Maharashtra,India,79,13,4,510,55
2020-01-19,Karnataka,India,576,131,45,498,94
2020-01-19,Kerala,India,276,49,24,980,36
2020-01-19,Tamil Nadu,India,406,83,27,364,16
2020-01-19,Delhi,India,318,50,24,115,89
2020-01-19,Uttar Pradesh,India,133,24,11,112,89
2020-01-19,West Bengal,India,365,64,20,563,50
2020-01-19,Gujarat,India,200,30,12,604,58
2020-01-19,Rajasthan,India,401,97,29,841,93
2020-01-19,Madhya Pradesh,India,87,13,4,864,89
2020-01-20,Maharashtra,India,55,9,4,752,30
2020-01-20,Karnataka,India,177,42,20,408,84
2020-01-20,Kerala,India,139,32,15,276,15
2020-01-20,Tamil Nadu,India,466,81,31,608,19
2020-01-20,Delhi,India,334,67,23,454,31
2020-01-20,Uttar Pradesh,India,437,66,31,316,64
2020-01-20,West Bengal,India,508,104,34,505,20
2020-01-20,Gujarat,India,351,84,36,641,69
2020-01-20,Rajasthan,India,420,99,47,304,61
2020-01-20,Madhya Pradesh,India,360,70,25,294,93
2020-01-21,Maharashtra,India,466,100,42,305,70
2020-01-21,Karnataka,India,238,46,16,534,29
2020-01-21,Kerala,India,175,29,11,764,31
2020-01-21,Tamil Nadu,India,364,76,34,912,50
2020-01-21,Delhi,India,355,53,18,418,87
2020-01-21,Uttar Pradesh,India,106,18,5,929,94
2020-01-21,West Bengal,India,455,78,34,958,51
2020-01-21,Gujarat,India,396,80,30,859,68
2020-01-21,Rajasthan,India,220,54,25,741,99
2020-01-21,Madhya Pradesh,India,387,79,24,612,36
2020-01-22,Maharashtra,India,395,64,31,544,53
2020-01-22,Karnataka,India,461,88,39,736,75
2020-01-22,Kerala,India,411,91,39,921,38
2020-01-22,Tamil Nadu,India,528,102,38,180,23
2020-01-22,Delhi,India,309,48,22,107,95
2020-01-22,Uttar Pradesh,India,257,51,20,423,38
2020-01-22,West Bengal,India,529,119,39,946,50
2020-01-22,Gujarat,India,218,49,22,182,91
2020-01-22,Rajasthan,India,312,47,17,932,11
2020-01-22,Madhya Pradesh,India,144,34,16,464,69
2020-01-23,Maharashtra,India,354,76,32,930,20
2020-01-23,Karnataka,India,325,61,23,703,58
2020-01-23,Kerala,India,537,104,42,363,54
2020-01-23,Tamil Nadu,India,482,85,29,872,100
2020-01-23,Delhi,India,418,75,36,588,27
2020-01-23,Uttar Pradesh,India,181,33,11,395,44
2020-01-23,West Bengal,India,415,99,30,804,27
2020-01-23,Gujarat,India,520,107,39,524,95
2020-01-23,Rajasthan,India,389,94,36,682,80
2020-01-23,Madhya Pradesh,India,149,24,9,920,73
2020-01-24,Maharashtra,India,88,20,6,924,34
2020-01-24,Karnataka,India,268,58,23,772,87
2020-01-24,Kerala,India,624,109,43,479,69
2020-01-24,Tamil Nadu,India,118,27,10,252,14
2020-01-24,Delhi,India,174,36,13,657,40
2020-01-24,Uttar Pradesh,India,198,47,21,400,81
2020-01-24,West Bengal,India,588,120,38,293,82
2020-01-24,Gujarat,India,152,32,15,290,68
2020-01-24,Rajasthan,India,407,76,24,979,73
2020-01-24,Madhya Pradesh,India,134,24,10,714,82
2020-01-25,Maharashtra,India,413,93,35,704,96
2020-01-25,Karnataka,India,543,100,32,296,40
2020-01-25,Kerala,India,401,83,32,331,12
2020-01-25,Tamil Nadu,India,129,22,7,811,87
2020-01-25,Delhi,India,402,99,43,880,84
2020-01-25,Uttar Pradesh,India,71,14,5,585,54
2020-01-25,West Bengal,India,575,112,37,511,35
2020-01-25,Gujarat,India,271,66,29,571,69
2020-01-25,Rajasthan,India,194,44,15,692,64
2020-01-25,Madhya Pradesh,India,188,46,18,901,44
2020-01-26,Maharashtra,India,416,76,32,326,64
2020-01-26,Karnataka,India,177,37,12,570,31
2020-01-26,Kerala,India,209,48,22,938,91
2020-01-26,Tamil Nadu,India,438,88,29,365,21
2020-01-26,Delhi,India,303,55,24,336,54
2020-01-26,Uttar Pradesh,India,168,34,16,401,71
2020-01-26,West Bengal,India,274,47,20,745,42
2020-01-26,Gujarat,India,107,24,9,200,21
2020-01-26,Rajasthan,India,440,73,29,568,70
2020-01-26,Madhya Pradesh,India,201,35,13,977,51
2020-01-27,Maharashtra,India,207,31,14,152,11
2020-01-27,Karnataka,India,266,52,16,797,47
2020-01-27,Kerala,India,286,61,25,474,14
2020-01-27,Tamil Nadu,India,331,59,18,799,50
2020-01-27,Delhi,India,95,15,6,306,69
2020-01-27,Uttar Pradesh,India,82,15,4,746,42
2020-01-27,West Bengal,India,255,47,16,296,21
2020-01-27,Gujarat,India,155,25,12,953,76
2020-01-27,Rajasthan,India,373,91,38,864,72
2020-01-27,Madhya Pradesh,India,477,114,50,349,52
2020-01-28,Maharashtra,India,239,48,17,569,13
2020-01-28,Karnataka,India,600,123,39,769,72
2020-01-28,Kerala,India,324,71,35,595,91
2020-01-28,Tamil Nadu,India,602,95,38,779,19
2020-01-28,Delhi,India,368,83,38,596,18
2020-01-28,Uttar Pradesh,India,70,14,5,863,23
2020-01-28,West Bengal,India,215,36,14,777,95
2020-01-28,Gujarat,India,113,25,10,793,95
2020-01-28,Rajasthan,India,434,99,46,207,89
2020-01-28,Madhya Pradesh,India,589,88,43,433,12
2020-01-29,Maharashtra,India,77,16,6,402,36
2020-01-29,Karnataka,India,353,68,33,457,16
2020-01-29,Kerala,India,610,150,67,566,84
2020-01-29,Tamil Nadu,India,486,87,34,427,48
2020-01-29,Delhi,India,296,72,34,567,15
2020-01-29,Uttar Pradesh,India,611,131,47,690,36
2020-01-29,West Bengal,India,244,44,18,852,76
2020-01-29,Gujarat,India,174,33,12,471,43
2020-01-29,Rajasthan,India,311,68,30,325,14
2020-01-29,Madhya Pradesh,India,384,66,24,974,33
2020-01-30,Maharashtra,India,462,95,46,364,76
2020-01-30,Karnataka,India,280,50,24,250,98
2020-01-30,Kerala,India,438,84,39,313,54
2020-01-30,Tamil Nadu,India,292,59,21,121,56
2020-01-30,Delhi,India,179,42,18,757,70
2020-01-30,Uttar Pradesh,India,180,41,18,297,76
2020-01-30,West Bengal,India,350,57,18,446,57
2020-01-30,Gujarat,India,359,57,21,408,43
2020-01-30,Rajasthan,India,237,42,12,871,40
2020-01-30,Madhya Pradesh,India,487,97,32,431,28
2020-01-31,Maharashtra,India,130,21,7,171,40
2020-01-31,Karnataka,India,207,50,19,853,81
2020-01-31,Kerala,India,612,102,43,297,28
2020-01-31,Tamil Nadu,India,328,50,19,505,69
2020-01-31,Delhi,India,137,21,8,202,59
2020-01-31,Uttar Pradesh,India,564,89,40,801,13
2020-01-31,West Bengal,India,517,93,31,112,28
2020-01-31,Gujarat,India,371,59,19,196,55
2020-01-31,Rajasthan,India,366,57,21,946,57
2020-01-31,Madhya Pradesh,India,325,62,26,380,67
2020-02-01,Maharashtra,India,61,10,4,665,27
2020-02-01,Karnataka,India,388,96,31,119,85
2020-02-01,Kerala,India,603,110,35,359,40
2020-02-01,Tamil Nadu,India,107,18,7,349,100
2020-02-01,Delhi,India,211,38,17,301,42
2020-02-01,Uttar Pradesh,India,137,26,11,530,62
2020-02-01,West Bengal,India,346,61,22,674,16
2020-02-01,Gujarat,India,472,85,40,196,30
2020-02-01,Rajasthan,India,239,48,15,309,88
2020-02-01,Madhya Pradesh,India,505,94,28,757,98
2020-02-02,Maharashtra,India,538,134,43,739,90
2020-02-02,Karnataka,India,201,38,14,253,68
2020-02-02,Kerala,India,493,103,39,945,43
2020-02-02,Tamil Nadu,India,503,119,57,318,10
2020-02-02,Delhi,India,513,102,45,484,66
2020-02-02,Uttar Pradesh,India,159,33,10,709,24
2020-02-02,West Bengal,India,190,37,12,696,82
2020-02-02,Gujarat,India,167,33,15,101,33
2020-02-02,Rajasthan,India,527,79,30,550,10
2020-02-02,Madhya Pradesh,India,207,42,15,483,89
2020-02-03,Maharashtra,India,468,88,29,829,35
2020-02-03,Karnataka,India,378,73,33,222,93
2020-02-03,Kerala,India,357,81,27,477,76
2020-02-03,Tamil Nadu,India,271,44,16,988,43
2020-02-03,Delhi,India,164,28,9,984,19
2020-02-03,Uttar Pradesh,India,297,66,23,137,21
2020-02-03,West Bengal,India,263,40,18,562,33
2020-02-03,Gujarat,India,350,75,37,879,67
2020-02-03,Rajasthan,India,413,74,22,716,71
2020-02-03,Madhya Pradesh,India,407,95,42,184,39
2020-02-04,Maharashtra,India,71,15,6,502,63
2020-02-04,Karnataka,India,367,82,40,221,32
2020-02-04,Kerala,India,593,116,54,712,79
2020-02-04,Tamil Nadu,India,333,78,33,922,90
2020-02-04,Delhi,India,127,30,13,637,69
2020-02-04,Uttar Pradesh,India,316,64,29,447,96
2020-02-04,West Bengal,India,536,107,40,723,87
2020-02-04,Gujarat,India,435,68,21,818,80
2020-02-04,Rajasthan,India,539,90,41,246,47
2020-02-04,Madhya Pradesh,India,198,43,15,404,20
2020-02-05,Maharashtra,India,92,21,8,786,90
2020-02-05,Karnataka,India,347,63,29,554,83
2020-02-05,Kerala,India,463,109,37,679,96
2020-02-05,Tamil Nadu,India,353,86,29,341,12
2020-02-05,Delhi,India,503,84,31,276,83
2020-02-05,Uttar Pradesh,India,426,97,47,681,20
2020-02-05,West Bengal,India,474,118,46,985,55
2020-02-05,Gujarat,India,413,93,31,616,84
2020-02-05,Rajasthan,India,520,108,37,765,76
2020-02-05,Madhya Pradesh,India,164,38,17,164,33
2020-02-06,Maharashtra,India,358,79,24,426,94
2020-02-06,Karnataka,India,365,76,23,991,75
2020-02-06,Kerala,India,276,66,22,725,11
2020-02-06,Tamil Nadu,India,146,30,11,245,51
2020-02-06,Delhi,India,89,13,5,126,79
2020-02-06,Uttar Pradesh,India,261,52,25,587,93
2020-02-06,West Bengal,India,396,63,30,652,50
2020-02-06,Gujarat,India,395,89,42,537,93
2020-02-06,Rajasthan,India,263,62,30,844,42
2020-02-06,Madhya Pradesh,India,264,64,27,432,50
2020-02-07,Maharashtra,India,422,103,39,605,75
2020-02-07,Karnataka,India,441,92,41,703,84
2020-02-07,Kerala,India,346,73,36,493,75
2020-02-07,Tamil Nadu,India,313,62,28,986,91
2020-02-07,Delhi,India,416,73,26,353,95
2020-02-07,Uttar Pradesh,India,420,104,41,851,79
2020-02-07,West Bengal,India,369,67,31,517,43
2020-02-07,Gujarat,India,649,158,78,952,18
2020-02-07,Rajasthan,India,548,135,48,334,37
2020-02-07,Madhya Pradesh,India,295,52,19,483,61
2020-02-08,Maharashtra,India,410,74,24,888,77
2020-02-08,Karnataka,India,514,93,40,632,73
2020-02-08,Kerala,India,373,87,29,940,58
2020-02-08,Tamil Nadu,India,195,33,15,186,40
2020-02-08,Delhi,India,383,80,39,428,25
2020-02-08,Uttar Pradesh,India,395,71,24,809,39
2020-02-08,West Bengal,India,106,25,9,796,46
2020-02-08,Gujarat,India,182,37,16,184,71
2020-02-08,Rajasthan,India,570,85,29,625,20
2020-02-08,Madhya Pradesh,India,295,67,20,530,79
2020-02-09,Maharashtra,India,230,53,21,221,66
2020-02-09,Karnataka,India,362,86,28,282,85
2020-02-09,Kerala,India,170,40,17,461,84
2020-02-09,Tamil Nadu,India,541,87,42,469,17
2020-02-09,Delhi,India,212,44,20,290,15
2020-02-09,Uttar Pradesh,India,364,88,28,852,45
2020-02-09,West Bengal,India,231,39,14,161,51
2020-02-09,Gujarat,India,125,19,8,891,83
2020-02-09,Rajasthan,India,146,23,9,587,33
2020-02-09,Madhya Pradesh,India,343,52,23,178,14
2020-02-10,Maharashtra,India,382,81,25,661,57
2020-02-10,Karnataka,India,503,112,50,928,38
2020-02-10,Kerala,India,644,151,51,140,33
2020-02-10,Tamil Nadu,India,182,42,14,214,47
2020-02-10,Delhi,India,188,40,19,589,100
2020-02-10,Uttar Pradesh,India,175,35,14,367,89
2020-02-10,West Bengal,India,241,50,15,205,53
2020-02-10,Gujarat,India,150,22,8,359,66
2020-02-10,Rajasthan,India,417,94,30,567,98
2020-02-10,Madhya Pradesh,India,316,65,30,234,11
2020-02-11,Maharashtra,India,358,81,30,150,67
2020-02-11,Karnataka,India,251,49,20,496,27
2020-02-11,Kerala,India,63,9,2,492,64
2020-02-11,Tamil Nadu,India,422,65,25,370,91
2020-02-11,Delhi,India,275,57,17,636,73
2020-02-11,Uttar Pradesh,India,279,67,30,540,22
2020-02-11,West Bengal,India,590,126,51,634,42
2020-02-11,Gujarat,India,245,42,19,489,79
2020-02-11,Rajasthan,India,432,100,48,738,25
2020-02-11,Madhya Pradesh,India,96,16,7,760,47
2020-02-12,Maharashtra,India,341,56,17,576,94
2020-02-12,Karnataka,India,271,52,18,393,26
2020-02-12,Kerala,India,300,65,28,608,92
2020-02-12,Tamil Nadu,India,579,141,67,679,100
2020-02-12,Delhi,India,271,51,20,505,27
2020-02-12,Uttar Pradesh,India,362,82,25,886,49
2020-02-12,West Bengal,India,118,20,7,788,53
2020-02-12,Gujarat,India,203,42,17,736,11
2020-02-12,Rajasthan,India,433,95,33,916,17
2020-02-12,Madhya Pradesh,India,277,64,26,686,49
2020-02-13,Maharashtra,India,142,26,9,567,76
2020-02-13,Karnataka,India,425,69,26,375,91
2020-02-13,Kerala,India,333,62,27,497,41
2020-02-13,Tamil Nadu,India,420,68,23,237,54
2020-02-13,Delhi,India,626,127,39,472,52
2020-02-13,Uttar Pradesh,India,148,23,8,867,38
2020-02-13,West Bengal,India,433,107,49,425,57
2020-02-13,Gujarat,India,176,27,8,498,89
2020-02-13,Rajasthan,India,606,130,56,434,78
2020-02-13,Madhya Pradesh,India,174,34,15,956,13
2020-02-14,Maharashtra,India,105,22,8,983,57
2020-02-14,Karnataka,India,101,17,7,912,79
2020-02-14,Kerala,India,114,17,5,646,91
2020-02-14,Tamil Nadu,India,71,12,5,384,28
2020-02-14,Delhi,India,170,31,11,797,51
2020-02-14,Uttar Pradesh,India,416,86,30,423,15
2020-02-14,West Bengal,India,126,23,10,844,77
2020-02-14,Gujarat,India,690,117,56,319,68
2020-02-14,Rajasthan,India,446,89,34,834,55
2020-02-14,Madhya Pradesh,India,160,28,11,1000,72
2020-02-15,Maharashtra,India,603,127,38,320,58
2020-02-15,Karnataka,India,185,36,12,922,47
2020-02-15,Kerala,India,536,112,53,557,72
2020-02-15,Tamil Nadu,India,496,117,43,968,78
2020-02-15,Delhi,India,196,47,18,272,60
2020-02-15,Uttar Pradesh,India,136,24,9,958,70
2020-02-15,West Bengal,India,345,78,28,977,41
2020-02-15,Gujarat,India,408,79,34,966,18
2020-02-15,Rajasthan,India,238,45,14,618,27
2020-02-15,Madhya Pradesh,India,79,16,4,702,26
2020-02-16,Maharashtra,India,248,48,19,661,93
2020-02-16,Karnataka,India,96,16,7,172,99
2020-02-16,Kerala,India,589,99,40,342,84
2020-02-16,Tamil Nadu,India,142,21,6,508,22
2020-02-16,Delhi,India,481,100,36,743,17
2020-02-16,Uttar Pradesh,India,249,59,22,419,33
2020-02-16,West Bengal,India,373,66,28,176,54
2020-02-16,Gujarat,India,399,65,27,564,30
2020-02-16,Rajasthan,India,113,17,6,272,22
2020-02-16,Madhya Pradesh,India,131,31,10,394,74
2020-02-17,Maharashtra,India,481,82,37,519,37
2020-02-17,Karnataka,India,109,17,7,357,28
2020-02-17,Kerala,India,564,113,52,714,49
2020-02-17,Tamil Nadu,India,168,38,14,819,71
2020-02-17,Delhi,India,255,49,15,528,41
2020-02-17,Uttar Pradesh,India,214,38,13,973,20
2020-02-17,West Bengal,India,246,40,16,500,52
2020-02-17,Gujarat,India,376,91,30,377,48
2020-02-17,Rajasthan,India,610,97,35,564,89
2020-02-17,Madhya Pradesh,India,115,25,11,551,12
2020-02-18,Maharashtra,India,435,103,44,277,52
2020-02-18,Karnataka,India,418,82,25,542,53
2020-02-18,Kerala,India,66,16,6,941,80
2020-02-18,Tamil Nadu,India,469,113,40,674,20
2020-02-18,Delhi,India,251,40,13,173,80
2020-02-18,Uttar Pradesh,India,195,34,13,324,91
2020-02-18,West Bengal,India,228,40,12,537,45
2020-02-18,Gujarat,India,222,35,15,952,32
2020-02-18,Rajasthan,India,277,57,17,238,61
2020-02-18,Madhya Pradesh,India,277,55,18,304,92
2020-02-19,Maharashtra,India,118,21,6,909,25
2020-02-19,Karnataka,India,322,57,27,591,28
2020-02-19,Kerala,India,399,77,29,639,86
2020-02-19,Tamil Nadu,India,207,40,18,616,75
2020-02-19,Delhi,India,298,49,15,869,88
2020-02-19,Uttar Pradesh,India,439,74,28,452,62
2020-02-19,West Bengal,India,561,117,51,305,23
2020-02-19,Gujarat,India,365,71,22,153,24
2020-02-19,Rajasthan,India,206,39,13,206,14
2020-02-19,Madhya Pradesh,India,480,91,39,731,52
2020-02-20,Maharashtra,India,593,133,42,318,54
2020-02-20,Karnataka,India,109,18,6,968,42
2020-02-20,Kerala,India,192,44,18,765,29
2020-02-20,Tamil Nadu,India,201,38,15,998,68
2020-02-20,Delhi,India,375,66,26,332,91
2020-02-20,Uttar Pradesh,India,156,30,14,275,53
2020-02-20,West Bengal,India,136,27,11,709,85
2020-02-20,Gujarat,India,426,90,40,653,87
2020-02-20,Rajasthan,India,515,107,43,238,48
2020-02-20,Madhya Pradesh,India,179,35,13,275,22
2020-02-21,Maharashtra,India,545,106,38,151,99
2020-02-21,Karnataka,India,70,11,3,115,19
2020-02-21,Kerala,India,383,78,32,763,42
2020-02-21,Tamil Nadu,India,213,46,22,995,89
2020-02-21,Delhi,India,387,92,29,362,28
2020-02-21,Uttar Pradesh,India,538,129,40,714,58
2020-02-21,West Bengal,India,347,82,33,496,78
2020-02-21,Gujarat,India,95,22,6,893,12
2020-02-21,Rajasthan,India,316,70,29,376,85
2020-02-21,Madhya Pradesh,India,492,86,42,862,89
2020-02-22,Maharashtra,India,352,74,34,275,77
2020-02-22,Karnataka,India,291,57,23,506,40
2020-02-22,Kerala,India,673,143,59,110,53
2020-02-22,Tamil Nadu,India,513,80,25,214,47
2020-02-22,Delhi,India,509,113,38,256,89
2020-02-22,Uttar Pradesh,India,557,88,43,967,20
2020-02-22,West Bengal,India,452,81,27,956,75
2020-02-22,Gujarat,India,500,83,31,116,46
2020-02-22,Rajasthan,India,427,79,35,396,44
2020-02-22,Madhya Pradesh,India,283,53,18,632,91
2020-02-23,Maharashtra,India,512,90,32,261,62
2020-02-23,Karnataka,India,390,80,33,447,38
2020-02-23,Kerala,India,582,100,36,266,53
