date,country,daily_cases,daily_deaths,daily_recovered,cumulative_cases,cumulative_deaths,cumulative_recovered,active_cases
2020-08-26,India,5544,119,5063,945606,23555,864142,57909
2020-08-27,India,5218,107,4902,950824,23662,869044,58118
2020-08-28,India,7027,198,6647,957851,23860,875691,58300
2020-08-29,India,6408,158,5864,964259,24018,881555,58686
2020-08-30,India,6263,142,5805,970522,24160,887360,59002
2020-08-31,India,6406,166,6050,976928,24326,893410,59192
2020-09-01,India,7593,197,6843,984521,24523,900253,59745
2020-09-02,India,5575,149,5257,990096,24672,905510,59914
2020-09-03,India,7009,141,6576,997105,24813,912086,60206
2020-09-04,India,7946,204,7454,1005051,25017,919540,60494
2020-09-05,India,5363,135,4945,1010414,25152,924485,60777
2020-09-06,India,5776,173,5324,1016190,25325,929809,61056
2020-09-07,India,7919,235,7313,1024109,25560,937122,61427
2020-09-08,India,6296,146,5699,1030405,25706,942821,61878
2020-09-09,India,5307,127,4907,1035712,25833,947728,62151
2020-09-10,India,7311,175,6857,1043023,26008,954585,62430
2020-09-11,India,4809,100,4388,1047832,26108,958973,62751
2020-09-12,India,5125,142,4834,1052957,26250,963807,62900
2020-09-13,India,7957,159,7507,1060914,26409,971314,63191
2020-09-14,India,6505,133,6023,1067419,26542,977337,63540
2020-09-15,India,7144,178,6587,1074563,26720,983924,63919
2020-09-16,India,4863,110,4408,1079426,26830,988332,64264
2020-09-17,India,5804,167,5364,1085230,26997,993696,64537
2020-09-18,India,4768,125,4481,1089998,27122,998177,64699
2020-09-19,India,7480,172,6737,1097478,27294,1004914,65270
2020-09-20,India,6274,139,5910,1103752,27433,1010824,65495
2020-09-21,India,5097,150,4752,1108849,27583,1015576,65690
2020-09-22,India,5255,154,4806,1114104,27737,1020382,65985
2020-09-23,India,7446,179,6881,1121550,27916,1027263,66371
2020-09-24,India,6513,160,5908,1128063,28076,1033171,66816
2020-09-25,India,5391,140,5053,1133454,28216,1038224,67014
2020-09-26,India,5172,107,4854,1138626,28323,1043078,67225
2020-09-27,India,8015,187,7529,1146641,28510,1050607,67524
2020-09-28,India,5681,113,5319,1152322,28623,1055926,67773
2020-09-29,India,7935,204,7403,1160257,28827,1063329,68101
2020-09-30,India,8037,196,7427,1168294,29023,1070756,68515
2020-10-01,India,5923,163,5442,1174217,29186,1076198,68833
2020-10-02,India,8288,237,7865,1182505,29423,1084063,69019
2020-10-03,India,5542,132,5225,1188047,29555,1089288,69204
2020-10-04,India,6214,144,5739,1194261,29699,1095027,69535
2020-10-05,India,8186,194,7771,1202447,29893,1102798,69756
2020-10-06,India,7701,204,6989,1210148,30097,1109787,70264
2020-10-07,India,8369,177,7936,1218517,30274,1117723,70520
2020-10-08,India,5878,123,5538,1224395,30397,1123261,70737
2020-10-09,India,4960,144,4467,1229355,30541,1127728,71086
2020-10-10,India,5127,147,4862,1234482,30688,1132590,71204
2020-10-11,India,4850,134,4429,1239332,30822,1137019,71491
2020-10-12,India,6983,167,6312,1246315,30989,1143331,71995
2020-10-13,India,5826,155,5398,1252141,31144,1148729,72268
2020-10-14,India,8252,216,7792,1260393,31360,1156521,72512
2020-10-15,India,6429,163,5984,1266822,31523,1162505,72794
2020-10-16,India,5437,145,4971,1272259,31668,1167476,73115
2020-10-17,India,5401,112,5125,1277660,31780,1172601,73279
2020-10-18,India,7454,201,6746,1285114,31981,1179347,73786
2020-10-19,India,5148,118,4640,1290262,32099,1183987,74176
2020-10-20,India,5749,118,5277,1296011,32217,1189264,74530
2020-10-21,India,6150,138,5661,1302161,32355,1194925,74881
2020-10-22,India,7104,154,6455,1309265,32509,1201380,75376
2020-10-23,India,6815,162,6366,1316080,32671,1207746,75663
2020-10-24,India,6375,164,5811,1322455,32835,1213557,76063
2020-10-25,India,6900,169,6440,1329355,33004,1219997,76354
2020-10-26,India,7884,194,7208,1337239,33198,1227205,76836
2020-10-27,India,6528,135,6183,1343767,33333,1233388,77046
2020-10-28,India,8193,188,7767,1351960,33521,1241155,77284
2020-10-29,India,7049,173,6450,1359009,33694,1247605,77710
2020-10-30,India,8208,234,7430,1367217,33928,1255035,78254
2020-10-31,India,5855,138,5356,1373072,34066,1260391,78615
2020-11-01,India,7043,142,6630,1380115,34208,1267021,78886
2020-11-02,India,5886,118,5551,1386001,34326,1272572,79103
2020-11-03,India,7313,217,6914,1393314,34543,1279486,79285
2020-11-04,India,7173,203,6779,1400487,34746,1286265,79476
2020-11-05,India,7274,162,6838,1407761,34908,1293103,79750
2020-11-06,India,5178,113,4725,1412939,35021,1297828,80090
2020-11-07,India,7169,198,6696,1420108,35219,1304524,80365
2020-11-08,India,4851,101,4518,1424959,35320,1309042,80597
2020-11-09,India,4479,124,4038,1429438,35444,1313080,80914
2020-11-10,India,5675,120,5365,1435113,35564,1318445,81104
2020-11-11,India,5522,133,5025,1440635,35697,1323470,81468
2020-11-12,India,7207,207,6618,1447842,35904,1330088,81850
2020-11-13,India,6142,139,5578,1453984,36043,1335666,82275
2020-11-14,India,7644,225,7249,1461628,36268,1342915,82445
2020-11-15,India,5358,153,5037,1466986,36421,1347952,82613
2020-11-16,India,5979,124,5606,1472965,36545,1353558,82862
2020-11-17,India,5079,135,4742,1478044,36680,1358300,83064
2020-11-18,India,5693,162,5282,1483737,36842,1363582,83313
2020-11-19,India,4565,109,4168,1488302,36951,1367750,83601
2020-11-20,India,4675,110,4382,1492977,37061,1372132,83784
2020-11-21,India,5165,122,4813,1498142,37183,1376945,84014
2020-11-22,India,5547,148,5123,1503689,37331,1382068,84290
2020-11-23,India,6427,189,5889,1510116,37520,1387957,84639
2020-11-24,India,6377,168,5941,1516493,37688,1393898,84907
2020-11-25,India,5840,157,5445,1522333,37845,1399343,85145
2020-11-26,India,4584,93,4134,1526917,37938,1403477,85502
2020-11-27,India,7706,163,7025,1534623,38101,1410502,86020
2020-11-28,India,6058,144,5564,1540681,38245,1416066,86370
2020-11-29,India,7504,202,6956,1548185,38447,1423022,86716
2020-11-30,India,6204,169,5858,1554389,38616,1428880,86893
2020-12-01,India,6428,182,5983,1560817,38798,1434863,87156
2020-12-02,India,7412,168,6926,1568229,38966,1441789,87474
2020-12-03,India,4860,118,4431,1573089,39084,1446220,87785
2020-12-04,India,5357,159,4919,1578446,39243,1451139,88064
2020-12-05,India,7227,191,6526,1585673,39434,1457665,88574
2020-12-06,India,5027,149,4762,1590700,39583,1462427,88690
2020-12-07,India,6922,144,6303,1597622,39727,1468730,89165
2020-12-08,India,6264,186,5653,1603886,39913,1474383,89590
2020-12-09,India,5190,155,4875,1609076,40068,1479258,89750
2020-12-10,India,4734,133,4391,1613810,40201,1483649,89960
2020-12-11,India,6034,169,5500,1619844,40370,1489149,90325
2020-12-12,India,6665,185,6197,1626509,40555,1495346,90608
2020-12-13,India,4946,147,4695,1631455,40702,1500041,90712
2020-12-14,India,5832,163,5280,1637287,40865,1505321,91101
2020-12-15,India,6930,147,6361,1644217,41012,1511682,91523
2020-12-16,India,6646,172,5986,1650863,41184,1517668,92011
2020-12-17,India,4856,103,4472,1655719,41287,1522140,92292
2020-12-18,India,4331,89,3994,1660050,41376,1526134,92540
2020-12-19,India,5158,133,4758,1665208,41509,1530892,92807
2020-12-20,India,4673,122,4375,1669881,41631,1535267,92983
2020-12-21,India,6969,185,6377,1676850,41816,1541644,93390
2020-12-22,India,6063,123,5759,1682913,41939,1547403,93571
2020-12-23,India,6730,163,6093,1689643,42102,1553496,94045
2020-12-24,India,6264,153,5919,1695907,42255,1559415,94237
2020-12-25,India,4951,106,4487,1700858,42361,1563902,94595
2020-12-26,India,5941,153,5558,1706799,42514,1569460,94825
2020-12-27,India,5121,133,4684,1711920,42647,1574144,95129
2020-12-28,India,5521,134,5187,1717441,42781,1579331,95329
2020-12-29,India,4219,112,3982,1721660,42893,1583313,95454
2020-12-30,India,5645,161,5201,1727305,43054,1588514,95737
2020-12-31,India,9030,217,8500,1736335,43271,1597014,96050
2021-01-01,India,6862,187,6283,1743197,43458,1603297,96442
2021-01-02,India,6469,145,6130,1749666,43603,1609427,96636
2021-01-03,India,8086,200,7314,1757752,43803,1616741,97208
2021-01-04,India,5448,132,5106,1763200,43935,1621847,97418
2021-01-05,India,6683,142,6034,1769883,44077,1627881,97925
2021-01-06,India,9196,235,8584,1779079,44312,1636465,98302
2021-01-07,India,6816,195,6455,1785895,44507,1642920,98468
2021-01-08,India,6853,199,6185,1792748,44706,1649105,98937
2021-01-09,India,6255,144,5661,1799003,44850,1654766,99387
2021-01-10,India,7184,154,6638,1806187,45004,1661404,99779
2021-01-11,India,8624,202,8001,1814811,45206,1669405,100200
2021-01-12,India,5476,124,4990,1820287,45330,1674395,100562
2021-01-13,India,6803,174,6383,1827090,45504,1680778,100808
2021-01-14,India,7608,203,7058,1834698,45707,1687836,101155
2021-01-15,India,7538,200,7045,1842236,45907,1694881,101448
2021-01-16,India,5066,115,4752,1847302,46022,1699633,101647
2021-01-17,India,8829,207,8026,1856131,46229,1707659,102243
2021-01-18,India,5527,146,4993,1861658,46375,1712652,102631
2021-01-19,India,8034,238,7267,1869692,46613,1719919,103160
2021-01-20,India,7134,169,6582,1876826,46782,1726501,103543
2021-01-21,India,5555,128,5089,1882381,46910,1731590,103881
2021-01-22,India,8828,229,8335,1891209,47139,1739925,104145
2021-01-23,India,5528,152,4988,1896737,47291,1744913,104533
2021-01-24,India,5208,127,4797,1901945,47418,1749710,104817
2021-01-25,India,7389,178,6729,1909334,47596,1756439,105299
2021-01-26,India,6983,163,6323,1916317,47759,1762762,105796
2021-01-27,India,7661,198,7096,1923978,47957,1769858,106163
2021-01-28,India,6115,135,5804,1930093,48092,1775662,106339
2021-01-29,India,5056,111,4789,1935149,48203,1780451,106495
2021-01-30,India,7994,220,7310,1943143,48423,1787761,106959
2021-01-31,India,5310,132,4893,1948453,48555,1792654,107244
2021-02-01,India,5341,135,4868,1953794,48690,1797522,107582
2021-02-02,India,7102,189,6517,1960896,48879,1804039,107978
2021-02-03,India,6428,176,5925,1967324,49055,1809964,108305
2021-02-04,India,6677,138,6113,1974001,49193,1816077,108731
2021-02-05,India,6544,157,6099,1980545,49350,1822176,109019
2021-02-06,India,5965,143,5656,1986510,49493,1827832,109185
2021-02-07,India,5478,161,5056,1991988,49654,1832888,109446
2021-02-08,India,7589,179,6995,1999577,49833,1839883,109861
2021-02-09,India,5197,126,4781,2004774,49959,1844664,110151
2021-02-10,India,5081,145,4762,2009855,50104,1849426,110325
2021-02-11,India,5660,157,5115,2015515,50261,1854541,110713
2021-02-12,India,7332,185,6669,2022847,50446,1861210,111191
2021-02-13,India,7910,185,7497,2030757,50631,1868707,111419
2021-02-14,India,7372,158,6672,2038129,50789,1875379,111961
2021-02-15,India,5784,125,5249,2043913,50914,1880628,112371
2021-02-16,India,7827,162,7416,2051740,51076,1888044,112620
2021-02-17,India,7290,179,6766,2059030,51255,1894810,112965
2021-02-18,India,7090,190,6693,2066120,51445,1901503,113172
2021-02-19,India,7346,219,6730,2073466,51664,1908233,113569
2021-02-20,India,8675,200,7998,2082141,51864,1916231,114046
2021-02-21,India,6636,174,6236,2088777,52038,1922467,114272
2021-02-22,India,7132,167,6445,2095909,52205,1928912,114792
2021-02-23,India,6605,134,6066,2102514,52339,1934978,115197
2021-02-24,India,5897,155,5595,2108411,52494,1940573,115344
2021-02-25,India,5099,132,4687,2113510,52626,1945260,115624
2021-02-26,India,7088,209,6641,2120598,52835,1951901,115862
2021-02-27,India,4901,142,4550,2125499,52977,1956451,116071
2021-02-28,India,5500,143,5087,2130999,53120,1961538,116341
2021-03-01,India,8627,211,8114,2139626,53331,1969652,116643
2021-03-02,India,8142,242,7362,2147768,53573,1977014,117181
2021-03-03,India,7369,150,6892,2155137,53723,1983906,117508
2021-03-04,India,8776,221,8165,2163913,53944,1992071,117898
2021-03-05,India,6229,181,5726,2170142,54125,1997797,118220
2021-03-06,India,7905,211,7135,2178047,54336,2004932,118779
2021-03-07,India,7326,171,6714,2185373,54507,2011646,119220
2021-03-08,India,7035,167,6420,2192408,54674,2018066,119668
2021-03-09,India,8241,244,7665,2200649,54918,2025731,120000
2021-03-10,India,5383,112,5023,2206032,55030,2030754,120248
2021-03-11,India,8525,196,7952,2214557,55226,2038706,120625
2021-03-12,India,7492,159,7008,2222049,55385,2045714,120950
2021-03-13,India,5132,131,4783,2227181,55516,2050497,121168
2021-03-14,India,6140,130,5741,2233321,55646,2056238,121437
2021-03-15,India,8693,260,8220,2242014,55906,2064458,121650
2021-03-16,India,5190,138,4802,2247204,56044,2069260,121900
2021-03-17,India,4887,112,4630,2252091,56156,2073890,122045
2021-03-18,India,6232,172,5668,2258323,56328,2079558,122437
2021-03-19,India,8967,193,8202,2267290,56521,2087760,123009
2021-03-20,India,8104,203,7512,2275394,56724,2095272,123398
2021-03-21,India,7913,199,7383,2283307,56923,2102655,123729
2021-03-22,India,8502,222,7905,2291809,57145,2110560,124104
2021-03-23,India,5507,120,5147,2297316,57265,2115707,124344
2021-03-24,India,7485,217,7006,2304801,57482,2122713,124606
2021-03-25,India,5067,119,4742,2309868,57601,2127455,124812
2021-03-26,India,8964,234,8404,2318832,57835,2135859,125138
2021-03-27,India,8203,183,7480,2327035,58018,2143339,125678
2021-03-28,India,8988,250,8495,2336023,58268,2151834,125921
2021-03-29,India,5749,153,5338,2341772,58421,2157172,126179
2021-03-30,India,6808,188,6392,2348580,58609,2163564,126407
2021-03-31,India,7090,171,6438,2355670,58780,2170002,126888
2021-04-01,India,5818,151,5490,2361488,58931,2175492,127065
2021-04-02,India,5203,129,4779,2366691,59060,2180271,127360
2021-04-03,India,8995,243,8327,2375686,59303,2188598,127785
2021-04-04,India,5544,115,5034,2381230,59418,2193632,128180
2021-04-05,India,6958,174,6551,2388188,59592,2200183,128413
2021-04-06,India,5435,158,5113,2393623,59750,2205296,128577
2021-04-07,India,8886,260,8181,2402509,60010,2213477,129022
2021-04-08,India,6793,161,6244,2409302,60171,2219721,129410
2021-04-09,India,5441,121,4983,2414743,60292,2224704,129747
2021-04-10,India,5536,150,5075,2420279,60442,2229779,130058
2021-04-11,India,5760,117,5448,2426039,60559,2235227,130253
